,item_name,price,menu_section,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Protein (g),Vitamin D (mcg),Calcium (mg),Iron (mg),Potassium (mg),Total Sugars (g)
0,Steak Cheesy Street Chalupas,5.49,Tacos,410.0,25.0,6.0,0.0,35.0,750.0,27.0,3.0,19.0,0.0,150.0,3.6,210.0,4.0
1,Cantina Chicken Cheesy Street Chalupas,5.49,Tacos,410.0,25.0,6.0,0.0,40.0,670.0,28.0,4.0,19.0,0.0,140.0,3.7,270.0,3.0
2,Double Stacked Taco,1.99,Tacos,320.0,16.0,5.0,0.0,25.0,600.0,34.0,4.0,11.0,0.0,130.0,1.9,300.0,3.0
3,Soft Taco,1.89,Tacos,180.0,8.0,4.0,0.0,25.0,490.0,18.0,3.0,9.0,0.0,100.0,1.7,130.0,2.0
4,Soft Taco Supreme®,2.89,Tacos,210.0,10.0,5.0,0.0,30.0,510.0,20.0,3.0,9.0,0.0,120.0,1.7,200.0,3.0
6,Crunchy Taco,1.89,Tacos,170.0,10.0,4.0,0.0,25.0,300.0,13.0,3.0,8.0,0.0,60.0,0.9,140.0,1.0
7,Crunchy Taco Supreme®,2.89,Tacos,190.0,11.0,5.0,0.0,30.0,320.0,15.0,3.0,8.0,0.0,80.0,0.9,200.0,2.0
8,Nacho Cheese Doritos® Locos Tacos,2.69,Tacos,170.0,10.0,4.0,0.0,25.0,360.0,12.0,3.0,8.0,0.0,70.0,0.9,150.0,1.0
9,Nacho Cheese Doritos® Locos Tacos Supreme®,3.69,Tacos,190.0,11.0,5.0,0.0,30.0,380.0,14.0,3.0,8.0,0.0,90.0,0.9,210.0,2.0
10,Chalupa Supreme®,4.99,Tacos,360.0,20.0,6.0,0.0,25.0,570.0,31.0,4.0,12.0,0.0,120.0,2.3,230.0,5.0
12,Cheesy Gordita Crunch,4.99,Tacos,490.0,28.0,11.0,0.0,55.0,840.0,41.0,5.0,20.0,0.0,300.0,2.6,250.0,6.0
13,Doritos® Cheesy Gordita Crunch - Nacho Cheese,5.39,Tacos,500.0,28.0,11.0,0.0,55.0,890.0,41.0,5.0,20.0,0.0,310.0,2.6,250.0,6.0
14,Chicken Enchilada Burrito,2.49,Burritos,380.0,12.0,6.0,0.0,40.0,1150.0,49.0,3.0,19.0,0.0,240.0,2.9,300.0,5.0
15,Cheesy Double Beef Burrito,2.79,Burritos,570.0,26.0,10.0,0.5,50.0,1330.0,63.0,7.0,21.0,0.0,270.0,4.1,440.0,6.0
16,Grilled Cheese Burrito,5.19,Burritos,720.0,40.0,16.0,0.5,75.0,1500.0,64.0,6.0,26.0,0.0,540.0,3.6,420.0,7.0
17,Black Bean Grilled Cheese Burrito,4.99,Burritos,700.0,37.0,15.0,0.0,55.0,1390.0,69.0,8.0,23.0,0.0,550.0,3.7,490.0,7.0
19,Beefy 5-Layer Burrito,3.99,Burritos,500.0,19.0,8.0,0.0,30.0,1280.0,65.0,7.0,18.0,1.5,260.0,4.6,470.0,7.0
20,Burrito Supreme®,5.29,Burritos,400.0,14.0,7.0,0.0,30.0,1160.0,51.0,7.0,16.0,1.5,210.0,3.9,430.0,6.0
22,Chili Cheese Burrito,3.39,Burritos,380.0,17.0,9.0,0.0,40.0,970.0,41.0,4.0,15.0,0.0,310.0,3.3,270.0,3.0
23,Stacker,2.19,Specialties,400.0,18.0,9.0,0.0,40.0,1060.0,42.0,4.0,17.0,0.0,320.0,3.0,290.0,4.0
24,3 Cheese Chicken Flatbread Melt,2.59,Specialties,330.0,15.0,6.0,0.0,50.0,760.0,29.0,2.0,20.0,0.0,240.0,1.8,230.0,5.0
25,Mexican Pizza,5.79,Specialties,540.0,30.0,9.0,0.0,40.0,1010.0,48.0,7.0,19.0,1.5,320.0,3.1,450.0,5.0
27,Crunchwrap Supreme®,5.89,Specialties,540.0,21.0,7.0,0.0,20.0,1210.0,73.0,6.0,16.0,0.0,250.0,4.6,530.0,8.0
44,Jalapeño Ranch Sauce,1.0,Sides & Sweets,200.0,21.0,3.5,0.0,0.0,210.0,2.0,0.0,1.0,0.0,20.0,0.2,60.0,1.0
53,Chicken Quesadilla,5.79,Quesadillas,520.0,26.0,13.0,0.0,75.0,1260.0,41.0,3.0,26.0,0.0,500.0,2.6,290.0,5.0
54,Steak Quesadilla,5.99,Quesadillas,520.0,27.0,14.0,0.0,70.0,1270.0,42.0,3.0,26.0,0.0,510.0,3.0,260.0,6.0
56,Strawberry Limonada Freeze,3.69,Drinks,190.0,0.0,0.0,0.0,0.0,85.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0
57,Vanilla Creme Limonada Freeze,3.69,Drinks,230.0,1.0,0.5,0.0,5.0,120.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0
58,Limonada Freeze,3.69,Drinks,190.0,0.0,0.0,0.0,0.0,120.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
59,Wild Strawberry Freeze,3.69,Drinks,190.0,0.0,0.0,0.0,0.0,55.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0
60,Loaded Beef Nachos,2.99,Nachos,450.0,25.0,5.0,0.0,20.0,930.0,44.0,9.0,12.0,1.6,110.0,1.7,610.0,4.0
61,Nachos BellGrande®,6.49,Nachos,740.0,39.0,6.0,0.0,25.0,1180.0,80.0,13.0,17.0,3.1,190.0,2.4,990.0,5.0
64,Veggie Bowl,8.19,Veggie Cravings,420.0,20.0,6.0,0.0,20.0,850.0,47.0,11.0,12.0,0.0,160.0,2.5,590.0,3.0
65,Bean Burrito,1.99,Veggie Cravings,360.0,10.0,4.5,0.0,5.0,1080.0,54.0,8.0,13.0,3.1,200.0,3.8,420.0,5.0
66,Cheesy Bean and Rice Burrito,1.49,Veggie Cravings,420.0,17.0,4.5,0.0,5.0,940.0,55.0,6.0,9.0,1.5,160.0,3.3,370.0,5.0
67,Spicy Potato Soft Taco,1.29,Veggie Cravings,240.0,12.0,3.0,0.0,10.0,470.0,28.0,2.0,5.0,0.0,100.0,1.3,270.0,2.0
68,Black Bean Chalupa Supreme®,4.69,Veggie Cravings,340.0,18.0,4.0,0.0,10.0,460.0,36.0,6.0,10.0,0.0,140.0,2.5,300.0,5.0
69,Black Bean Crunchwrap Supreme®,5.89,Veggie Cravings,520.0,18.0,5.0,0.0,5.0,1100.0,77.0,8.0,13.0,0.0,260.0,4.8,610.0,8.0
70,Veggie Mexican Pizza,5.59,Veggie Cravings,470.0,25.0,7.0,0.0,20.0,760.0,46.0,6.0,14.0,1.5,310.0,2.5,370.0,4.0
71,Cheese Quesadilla,4.79,Veggie Cravings,470.0,24.0,13.0,0.0,50.0,1000.0,41.0,3.0,18.0,0.0,500.0,2.5,160.0,5.0
72,Cheesy Roll Up,1.19,Veggie Cravings,180.0,9.0,6.0,0.0,20.0,430.0,17.0,1.0,8.0,0.0,230.0,1.0,60.0,2.0
73,Cheesy Fiesta Potatoes,2.69,Veggie Cravings,240.0,13.0,2.0,0.0,5.0,520.0,28.0,3.0,3.0,0.0,40.0,0.3,560.0,1.0
74,Chips and Guacamole,3.29,Veggie Cravings,250.0,16.0,2.0,0.0,0.0,240.0,22.0,4.0,3.0,0.1,50.0,0.2,280.0,1.0
75,Chips and Nacho Cheese Sauce,2.89,Veggie Cravings,220.0,13.0,1.5,0.0,0.0,280.0,24.0,2.0,3.0,0.0,60.0,0.2,290.0,1.0
76,Black Beans,1.59,Veggie Cravings,50.0,1.5,0.0,0.0,0.0,140.0,7.0,4.0,3.0,0.0,20.0,0.8,150.0,0.0
77,Black Beans and Rice,1.59,Veggie Cravings,160.0,4.5,0.0,0.0,0.0,370.0,25.0,5.0,4.0,0.0,20.0,1.3,190.0,1.0
78,Pintos N Cheese,2.49,Veggie Cravings,170.0,7.0,3.0,0.0,10.0,690.0,19.0,7.0,9.0,3.1,130.0,1.4,360.0,2.0
79,Cinnamon Twists,1.19,Veggie Cravings,170.0,6.0,0.5,0.0,0.0,115.0,27.0,1.0,1.0,0.0,10.0,0.0,20.0,20.0
82,Cheesy Toasted Breakfast Burrito Bacon,1.79,Breakfast,350.0,16.0,5.0,0.0,110.0,900.0,38.0,2.0,13.0,0.0,150.0,3.0,270.0,5.0
83,Cheesy Toasted Breakfast Burrito Sausage,1.79,Breakfast,350.0,17.0,6.0,0.0,105.0,770.0,38.0,2.0,10.0,0.0,150.0,2.9,240.0,5.0
84,Cheesy Toasted Breakfast Burrito Potato,1.79,Breakfast,340.0,14.0,3.5,0.0,95.0,770.0,44.0,3.0,9.0,0.0,150.0,3.0,350.0,4.0
85,Grande Toasted Breakfast Burrito Steak,4.99,Breakfast,570.0,28.0,10.0,0.0,230.0,1370.0,52.0,4.0,27.0,0.0,360.0,4.1,520.0,6.0
86,Grande Toasted Breakfast Burrito Sausage,4.29,Breakfast,570.0,31.0,12.0,0.0,220.0,1190.0,51.0,4.0,21.0,0.0,340.0,3.6,450.0,5.0
87,Grande Toasted Breakfast Burrito Bacon,4.29,Breakfast,570.0,30.0,11.0,0.0,225.0,1320.0,51.0,4.0,23.0,0.0,340.0,3.7,480.0,5.0
88,Breakfast Quesadilla Sausage,4.19,Breakfast,510.0,29.0,15.0,0.0,150.0,1130.0,40.0,3.0,23.0,0.0,510.0,2.9,200.0,5.0
