,item_name,price,menu_section,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrates,Dietary Fiber,Sugars,Includes,Protein,Vitamin D,Calcium,Iron,Potassium,Gluten,Milk,Wheat,Soy,Eggs,Fish,Shellfish,Tree Nuts,Peanuts,MSG,Sesame
24,Mexican Pizza,$5.39,Specialties,530,29g,9g,0g,40mg,980mg,49g,8g,4g,<1g,19g,0mcg,320mg,3.3mg,440mg,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Veggie Mexican Pizza,$5.19,Specialties,470,25g,7g,0g,20mg,730mg,46g,7g,3g,<1g,14g,0mcg,310mg,2.6mg,360mg,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Crunchwrap Supreme®,$5.39,Specialties,540,21g,7g,0g,20mg,1210mg,73g,6g,6g,2g,16g,0mcg,250mg,4.6mg,530mg,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Black Bean Crunchwrap Supreme®,$5.39,Specialties,520,18g,5g,0g,5mg,1100mg,77g,8g,6g,2g,13g,0mcg,260mg,4.8mg,610mg,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cheesy Roll Up,$1.00,Specialties,180,9g,6g,0g,20mg,430mg,17g,1g,1g,<1g,8g,0mcg,230mg,1mg,60mg,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Chicken Chipotle Melt,$2.39,Specialties,190,9g,3g,0g,35mg,530mg,16g,1g,<1g,<1g,12g,0mcg,100mg,1.1mg,170mg,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Cheesy Fiesta Potatoes,$2.59,Sides & Sweets,240,13g,2g,0g,<5mg,520mg,28g,3g,1g,0g,3g,0mcg,40mg,0.3mg,560mg,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Chips and Nacho Cheese Sauce,$2.59,Sides & Sweets,220,13g,1.5g,0g,0mg,280mg,24g,2g,1g,0g,3g,0mcg,60mg,0.2mg,290mg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Chips and Vegan Nacho Sauce,$2.59,Sides & Sweets,210,11g,1.5g,0g,0mg,270mg,24g,2g,0g,0g,2g,0mcg,40mg,0.2mg,260mg,,,,,,,,,,,
33,Black Beans,$1.49,Sides & Sweets,50,1.5g,0g,0g,0mg,140mg,7g,4g,0g,0g,3g,0mcg,20mg,0.8mg,150mg,,,,,,,,,,,
