,item_name,price,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrates,Dietary Fiber,Sugars,Added Sugars,Protein,Vitamin D,Calcium,Iron,Potassium,Gluten,Milk,Wheat,Soy,Eggs,Fish,Shellfish,Tree Nuts,Peanuts,MSG,Sesame
106,Cheesy Toasted Breakfast Burrito Sausage,$1.69,350,17g,6g,0g,105mg,770mg,38g,2g,3g,2g,10g,0mcg,150mg,2.9mg,240mg,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Cheesy Toasted Breakfast Burrito Potato,$1.69,340,14g,3.5g,0g,95mg,770mg,44g,3g,3g,1g,9g,0mcg,150mg,3mg,350mg,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Grande Toasted Breakfast Burrito Steak,$4.39,570,28g,10g,0g,230mg,1370mg,52g,4g,4g,2g,27g,0mcg,360mg,4.1mg,520mg,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Grande Toasted Breakfast Burrito Sausage,$3.79,570,31g,12g,0g,220mg,1190mg,51g,4g,3g,2g,21g,0mcg,340mg,3.6mg,450mg,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Grande Toasted Breakfast Burrito Bacon,$3.79,570,30g,11g,0g,220mg,1310mg,52g,4g,3g,2g,23g,0mcg,340mg,3.7mg,470mg,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Breakfast Quesadilla Sausage,$3.69,510,29g,15g,0g,150mg,1130mg,40g,3g,3g,2g,23g,0mcg,510mg,2.9mg,200mg,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
112,Breakfast Quesadilla Bacon,$3.69,510,27g,14g,0g,150mg,1250mg,41g,3g,3g,2g,25g,0mcg,510mg,3mg,230mg,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
113,Breakfast Quesadilla Steak,$3.99,510,25g,14g,0g,160mg,1310mg,41g,3g,4g,2g,28g,0mcg,520mg,3.5mg,270mg,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
114,Breakfast California Crunchwrap,$3.99,630,37g,12g,0g,130mg,1340mg,53g,5g,3g,2g,21g,19.2mcg,350mg,3.1mg,500mg,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
115,Breakfast Crunchwrap Bacon,$3.79,670,40g,13g,0g,135mg,1300mg,52g,4g,3g,2g,21g,0mcg,350mg,3mg,390mg,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Breakfast Crunchwrap Sausage,$3.79,750,49g,16g,0g,145mg,1220mg,53g,4g,3g,2g,21g,0mcg,360mg,3.3mg,400mg,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Hash Brown,$1.69,160,11g,1g,0g,0mg,280mg,14g,1g,0g,0g,1g,0mcg,10mg,0mg,190mg,,,,,,,,,,,
118,Cinnabon Delights® 2 Pack,$2.19,170,11g,3.5g,0g,5mg,70mg,15g,<1g,9g,9g,2g,0mcg,10mg,0mg,30mg,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
119,Cinnabon Delights® 12 Pack,$6.89,1010,68g,22g,0g,40mg,430mg,88g,5g,52g,52g,11g,0mcg,60mg,0mg,160mg,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
120,Breakfast Salsa,$0.00,0,0g,0g,0g,0mg,50mg,<1g,0g,0g,0g,0g,0mcg,0mg,0mg,40mg,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
