,item_name,price,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrates,Dietary Fiber,Sugars,Added Sugars,Protein,Vitamin D,Calcium,Iron,Potassium,Gluten,Milk,Wheat,Soy,Eggs,Fish,Shellfish,Tree Nuts,Peanuts,MSG,Sesame
26,Cheesy Bean and Rice Burrito,1.0,420.0,16.0,4.0,0.0,5.0,920.0,55.0,7.0,3.0,2.0,9.0,0.0,160.0,3.4,360.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Fiesta Veie Burrito,2.0,570.0,28.0,8.0,0.0,25.0,1020.0,65.0,9.0,4.0,2.0,14.0,19.2,270.0,3.8,470.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Chili Cheese Burrito,2.99,380.0,17.0,9.0,0.0,35.0,980.0,41.0,4.0,2.0,1.0,16.0,0.0,330.0,3.3,270.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Mexican Pizza,5.39,530.0,29.0,9.0,0.0,40.0,980.0,49.0,8.0,4.0,1.0,19.0,0.0,320.0,3.3,440.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Veie Mexican Pizza,5.19,470.0,25.0,7.0,0.0,20.0,730.0,46.0,7.0,3.0,1.0,14.0,0.0,310.0,2.6,360.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Crunchwrap Supreme®,5.39,540.0,21.0,7.0,0.0,20.0,1210.0,73.0,6.0,6.0,2.0,16.0,0.0,250.0,4.6,530.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Black Bean Crunchwrap Supreme®,5.39,520.0,18.0,5.0,0.0,5.0,1100.0,77.0,8.0,6.0,2.0,13.0,0.0,260.0,4.8,610.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cheesy Roll Up,1.0,180.0,9.0,6.0,0.0,20.0,430.0,17.0,1.0,1.0,1.0,8.0,0.0,230.0,1.0,60.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Chicken Chipotle Melt,2.39,190.0,9.0,3.0,0.0,35.0,530.0,16.0,1.0,1.0,1.0,12.0,0.0,100.0,1.1,170.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Cheesy Fiesta Potatoes,2.59,240.0,13.0,2.0,0.0,5.0,520.0,28.0,3.0,1.0,0.0,3.0,0.0,40.0,0.3,560.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Chips and Nacho Cheese Sauce,2.59,220.0,13.0,1.5,0.0,0.0,280.0,24.0,2.0,1.0,0.0,3.0,0.0,60.0,0.2,290.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Black Beans,1.49,50.0,1.5,0.0,0.0,0.0,140.0,7.0,4.0,0.0,0.0,3.0,0.0,20.0,0.8,150.0,,,,,,,,,,,
41,Black Beans and Rice,1.49,160.0,4.5,0.0,0.0,0.0,370.0,25.0,5.0,1.0,0.0,4.0,0.0,20.0,1.3,190.0,,,,,,,,,,,
42,Pintos N Cheese,2.39,170.0,6.0,3.0,0.0,10.0,640.0,20.0,9.0,1.0,1.0,9.0,0.0,130.0,1.7,340.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Cinnamon Twists,1.0,170.0,6.0,0.5,0.0,0.0,115.0,27.0,1.0,10.0,10.0,1.0,0.0,10.0,0.0,20.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Cinnabon Delihts® 2 Pack,2.19,170.0,11.0,3.5,0.0,5.0,70.0,15.0,1.0,9.0,9.0,2.0,0.0,10.0,0.0,30.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Cinnabon Delihts® 12 Pack,6.89,1010.0,68.0,22.0,0.0,40.0,430.0,88.0,5.0,52.0,52.0,11.0,0.0,60.0,0.0,160.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Mild Sauce Packet,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Hot Sauce Packet,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Fire Sauce Packet,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Diablo Sauce Packet,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,
50,Nacho Cheese Sauce,0.0,60.0,4.0,0.0,0.0,0.0,210.0,4.0,0.0,1.0,0.0,1.0,0.0,20.0,0.0,210.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Reduced-Fat Sour Cream,0.7,45.0,3.0,2.0,0.0,10.0,30.0,3.0,0.0,1.0,0.0,1.0,0.0,30.0,0.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Creamy Jalapeño Sauce,0.6,230.0,19.0,4.5,0.0,10.0,160.0,3.0,1.0,1.0,1.0,1.0,0.0,20.0,0.1,70.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Guacamole,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
